YYYY-Mon-Day,RA,DEC,dRA,dDEC,Parts,Rate,RLI,CRLI
2020-Mar-03,72.66495833333332,20.405527777777777,13.51166666666667,1.9975555555555573,13.658527164692469,0.6538456584324912,-0.07060946283140268,-6.648320834390196
2020-Mar-04,86.17662499999999,22.403083333333335,14.287125000000032,0.8497500000000002,14.31237282312496,0.5803070153919538,0.5832361956010885,-6.718930297221599
2020-Mar-05,100.46375000000002,23.252833333333335,14.88420833333329,-0.5022500000000001,14.892679838516914,0.4263814150076115,1.1635432109930424,-6.13569410162051
2020-Mar-06,115.34795833333331,22.750583333333335,15.19187500000001,-1.9699166666666699,15.319061253524525,0.24483784467347114,1.5899246260006539,-4.972150890627468
2020-Mar-07,130.53983333333332,20.780666666666665,15.185333333333318,-3.411833333333334,15.563899098197997,0.09012176640291969,1.834762470674125,-3.382226264626814
2020-Mar-08,145.72516666666664,17.36883333333333,14.942875000000043,-4.664638888888884,15.654020864600916,-0.018976794250841422,1.9248842370770447,-1.547463793952689
2020-Mar-09,160.66804166666668,12.704194444444447,14.603749999999962,-5.584361111111115,15.635044070350075,-0.09449338543939412,1.9059074428262033,0.37742044312435574
2020-Mar-10,175.27179166666664,7.1198333333333315,14.302750000000003,-6.077833333333331,15.54055068491068,-0.14775055835441542,1.8114140573868092,2.283327885950559
2020-Mar-11,189.57454166666665,1.0420000000000003,14.126583333333315,-6.113750000000001,15.392800126556265,-0.17714083664254865,1.6636634990323937,4.094741943337368
2020-Mar-12,203.70112499999996,-5.071750000000001,14.101125000000053,-5.716166666666665,15.215659289913717,-0.18298944128808792,1.486522662389845,5.758405442369762
2020-Mar-13,217.80225000000002,-10.787916666666666,14.194666666666677,-4.949,15.032669848625629,-0.18115504653022008,1.3035332211017572,7.244928104759607
2020-Mar-14,231.9969166666667,-15.736916666666666,14.330541666666647,-3.8991111111111145,14.851514802095409,-0.20060004782941476,1.122378174571537,8.548461325861364
2020-Mar-15,246.32745833333334,-19.63602777777778,14.406458333333404,-2.6651944444444418,14.650914754265994,-0.2597281762635646,0.9217781267421223,9.670839500432901
2020-Mar-16,260.73391666666674,-22.301222222222222,14.327708333333305,-1.3501944444444476,14.39118657800243,-0.3481292761022434,0.6620499504785577,10.592617627175024
2020-Mar-17,275.06162500000005,-23.65141666666667,14.042958333333331,-0.05272222222221856,14.043057301900186,-0.4293654103728226,0.3139206743763143,11.254667577653581
2020-Mar-18,289.1045833333334,-23.704138888888888,13.565499999999986,1.1444722222222232,13.613691891527363,-0.4681806208349961,-0.11544473599650829,11.568588252029896
